Name;ID;File_Name;program;text_start
Vandallov;963729102;scam (1).py;0;Yes
Vandallov2;6523058852;main.py;1;Yes
svsvvsvsvsef1;7765076958;main.py;1;No
mandarin_kaaaaa;1624096187;main.py;1;Yes
None;6408039206;main.py;1;No
IStoleYourCheese;2046022294;;0;
jk_n7548;5022508915;;0;
dekWz;2061757823;hack.py;0;Yes
demxxgu;7911461198;;0;
None;1710047327;puk.py;0;No
deipha;5410178722;;0;
remoryyq;694090803;;0;
wartexny;6323472528;;0;
None;6984952764;;0;Yes
xayoru0;7505563213;;0;Yes
Kotmerkot;1676944646;;0;Yes
KaliyevArsen;6082966048;main.py;0;Yes
Bnnffet;6349069125;;0;
GodwithCsharp;7199344406;;0;
defrome;7174900974;;0;Yes
eclipsetrour;7296917034;main.py;0;Yes
None;1222961630;;0;Yes
kkkkkkk3322;981037533;bot.py;0;No
S_Egoriks;1277060850;;0;
shirmavir;1675726555;;0;
suimurdee;1523471190;bot.py;0;Yes
PR_JK;5160454792;;0;No
Pravda_ebet;7488532964;main.py;0;Yes
jordger;7207074357;;0;
Shayerxxx_TG;6206881779;;0;Yes
fkmem;6811753151;;0;Yes
gidromegapon;1336253889;Bot2.py;0;Yes
brutforcik;7578333596;main.py;1;Yes
desipofficial;586135931;b.py;0;Yes
Shinoukoo;7395604316;main.py;1;No
rip_i_n_d_ro;7015400481;;0;Yes
S_o_s_i_s_k_a_KILER;1155916541;;0;Yes
Ahmed_Rec;7336431650;;0;Yes
Lololowka007_993;7386640680;project.py;0;Yes
BaTcoK_YT;7210924171;main.py;1;Yes
HaBBeRL;1482157074;;0;Yes
Hloy_I;5521165896;;0;Yes
Shaxzod29062011;7461164540;bot.py;0;Yes
slavnuyfrontend;5176998143;main.py;0;No
antimechnik;6780623015;;0;No
manager_script;6962681010;bot_update.py;0;Yes
tonrew;7796739284;bot.py;0;Yes
Monero_Mint;7989932385;newfile.py;1;No
japanDemi;2030353783;;0;Yes
xnax019;1800467817;;0;
SolarVlg36;994596035;;0;
bententik;7328109543;main.py;0;Yes
intensiveInvincible;2128616696;faceitso2.py;0;Yes
ZWzaiU;7238240102;;0;
psyhomakarov;247517453;;0;No
MatveyMatPycc;1904415914;key.py;0;Yes
Melkijsharistgames;7263028846;222.py;0;Yes
zxcpuzatik;6224295154;textgen.py;0;No
klinoffs;1877630760;;0;Yes
jymapelb;6186981158;main.py;0;Yes
zablud1lsya;7309217174;mainreactions.py;1;Yes
Galaxies6;7230635868;snos.py;1;Yes
Irisktoto;7133131940;bot (1) (2).py;1;Yes
qwrie211;7795511141;zxcvbonus_bot.py;1;No
ikart155;8097510377;main.py;0;No
nikolay_vlkv;5137276440;;0;
clowneq;6417997224;main.py;0;Yes
scansystem;1061333581;bot.py;0;No
subbort_friendly;8173876612;;0;Yes
Khvgvni;150203692;;0;
naboku;6103741530;;0;Yes
exuntly_x;5714058776;;0;No
whodesinger;7944795106;bot.py;0;Yes
svikkkks;5872805220;;0;
prololojdh;7830718389;;0;No
MrYmer1201_Clarity;7643517190;bot (2).py;1;No
merathdy;7995138630;;0;No
AlexiaLutik;1938032765;;0;
oXLiIIG;879653905;;0;Yes
None;861553047;;0;Yes
Officially_ali185608;1068356837;;0;
None;5021574181;;0;
nzxnetwork;7628858436;main.py;1;Yes
s3r3n1ty1337;1061876212;;0;
Ucuuuchygi;5777343161;nano tritonusbot.py;0;Yes
nowhereandmania;7111979246;;0;
shinchekk;1790181625;;0;
JloBECIK;6583982025;;0;
newkikas;374213171;mail4.py;0;Yes
dimakolmogorov;1410698629;;0;Yes
Artemii_Fil;5314077979;main.py;0;
OVEN_mod;5272446835;bot.py;0;Yes
TheSpash;7533806395;app.py;0;Yes
Abdurasulov_Muhammadsaid;6648396375;bot.py;0;Yes
Rarshah;383380430;;0;Yes
MRAGAGA18;7792696177;main.py;0;Yes
BVV80;1318559375;;0;Yes
Anonik_support;6020405104;bot.py;0;Yes
Vyvyndra;5773681820;;0;
io_pawno;5755401931;main.py;0;No
Myrsin_Sergey;5731282829;;0;Yes
cripta_send;5226034047;main.py;0;Yes
LOL_kil;1868286897;main.py;0;Yes
CrimsonKnight228;5146059608;scam.py;0;Yes
chips_xrust;7329543582;;0;No
polina_romnv;7561007734;main.py;0;
None;6736920899;1.py;0;Yes
Ssssssskkwkm;7580849146;online.py;1;Yes
DANSTARD_ADMIN;7654148710;;0;Yes
userccloud;7886614434;anon.py;0;Yes
AndroidMain_xml;986788577;anon.py;1;Yes
vkcodov;8155290862;main.py;0;Yes
sentraller;6779645925;;0;No
Za1ire;1506929183;;0;
Dgtdvcn;5853540315;;0;
Incruci;1343280852;;0;
None;7567159282;uraobnova.py;0;No
grkfkccf;7780238811;;0;Yes
userklincov;107068407;main.py;0;No
lihnusWW;5304397139;;0;Yes
vjexe;862576671;;0;
want_dead;923107190;main.py;0;Yes
popuskel;1259808249;tgbot.py;1;Yes
AnonimusRussiaCat;5405742787;Core.py;0;
Denis_Nazarenko69;5118733321;;0;
ScamProjections;6695429490;;0;No
freakedsense;6538572443;main.py;0;No
FobosAlmut;1374553681;;0;Yes
oldmrld;762373394;main.py;0;No
NATALIYA61615;8158710388;порно.py;0;No
None;1951566127;;0;
ucer5050;7317419505;main.py;0;Yes
BorisK202;7348999162;main.py;0;Yes
atashkasss;7812104417;XSend.py;0;Yes
aaahelppls;5074504177;testhost.py;0;Yes
None;5222742586;;0;Yes
GHOSTcoderTG;7662435450;нфтскам.py;1;No
None;7567078783;botEN.py;0;Yes
Vqwq21;974879580;botEN.py;0;
None;7345879210;NexusT.py;0;
pwelsi;6802414729;mama.py;1;Yes
skypedead;7996250265;bot.py;1;Yes
Lucazar1;6116394390;wol_telegram_bot.py;0;Yes
attack_hetguci;7901020073;main.py;1;No
shashachkaaa;7091172883;;0;Yes
MUHUCTEP_SWAGU;5345657356;;0;Yes
pvpGHOSThun;504555504;;0;
Fdffdggg;6888133822;;0;
o90O5;7490023294;;0;Yes
Katanazwer;1379517898;bot.py;1;Yes
wrotg;1473160163;;0;
rysex;1086274735;activator.py;0;Yes
cryptovoronnn;6105654442;Xarlamov.py;0;No
dr4gg0n;7742009500;main.py;0;Yes
SWENSI17;2142409677;;0;No
dervos;7054275297;;0;No
ownerFHVH;8020087030;;0;Yes
vm3ta;6317412105;pos.py;0;Yes
harments;1129980735;;0;No
byrealized;8129933172;aibot.py;1;No
ScoreAdd;7551880840;;0;Yes
S_Sn4kE_S;5700868958;ai.py;0;Yes
Anderutu;6847206726;;0;No
VesperPsycho;8099553333;bot.py;0;Yes
ioadling;5493493108;bot.py;1;No
racc4lka;6974128297;;0;Yes
ruskuli;1169124166;bot.py;0;Yes
Dempaoff;5539710752;main.py;0;Yes
ovi_user;8065283718;main.py;1;Yes
No_akk_tg;5067075382;bot.py;0;Yes
reugid23;7390198695;main.py;1;Yes
AtheronCoder;7714344793;gifts.py;0;Yes
robert_no_name;824554182;main.py;0;Yes
sarallag;6661888694;main.py;1;Yes
mexann11k;6631799700;codbot.py;0;No
egortes;7840239560;homa-obt.py;0;Yes
Miron_x_x_x;5890103502;pidor.py;0;Yes
tyyskw;7098491852;;0;Yes
HavQQ;5845317355;v1.py;0;Yes
Tikmaysan;8162058247;main.py;1;No
Nexagon;29896272;;0;
ussecry;910640866;main.py;0;Yes
q_vvv_e_r_t_yy;6155043024;code.py;0;Yes
Teppupvp;7753372971;bot.py;0;Yes
Prosto_cheeeeeel;7755932031;RedStars.py;0;Yes
xadinkka;171390586;main.py;0;
None;7153307385;v1.py;0;Yes
kt0_t0oo;7776405162;code.py;0;Yes
D0CTOIH_CMERTI;1617851428;code.py;0;Yes
pizdabolgodm;7538785762;main.py;1;Yes
p2pMyrtical;8132049501;main.py;1;No
DobryyAdm;7144278735;;0;Yes
infisible;6735342087;key.py;1;Yes
romantsev07;1122288946;bot_main.py;1;Yes
Rahma1ov17;5294743593;;0;No
hornybite;5181315743;main.py;0;Yes
leikimia;1381003885;TeleSession.py;0;Yes
M1RNYAK;1471230218;testbot.py;1;Yes
Daniil1353;1621928662;;0;Yes
deathsvibe;54730551;main.py;0;Yes
d1ezz9;7291650059;Robert ai 2.1.py;1;No
None;1383310109;кейк гивер ХХЛ.py;0;Yes
Snoser_telegram628;8061247468;;0;No
MrKivik;7097836500;Test.py;0;No
CheckChudikov;948177708;main.py;1;Yes
None;7597435312;main.py;0;Yes
Vovanhickto;5956965498;;0;Yes
Ame2er;5847606140;meeeeeeeaw.py;0;Yes
piramonov;1764870690;rasul.py;0;Yes
error69sex;1227589134;Userbot.py;0;Yes
aoaooao0a;680688575;;0;No
Fuskato;1256291748;main (2).py;0;Yes
solg0dm;8176015531;main.py;1;No
osintkiller;759405876;main.py;0;Yes
Lolpop1337xD;7607264687;;0;Yes
WhatsAppDmitry;7104075410;main.py;0;
wh4ajak;6596216068;;0;No
gerroin;1630443614;bot.py;0;Yes
fnoxer;841817517;;0;Yes
ShinraUsing;7307243710;;0;
Konorex778;5051607909;main.py;0;Yes
ManagerGerroin;7913030553;;0;
D0HOC;7677877890;GA.py;1;No
ceovxq;8042596635;bot.py;1;Yes
osinisiiwex;7660452124;lol.py;0;No
x1ntongle;7604206663;botnet2.py;0;Yes
None;7798775068;cazino.py;0;Yes
aurvmusic;5298006420;;0;
ZhabaXL;5847597977;main.py;0;Yes
asani1200;985577309;manshair.py;0;Yes
rperets;509570;;0;
None;8102128969;;0;Yes
sgysh3nka;6377587309;app.py;0;Yes
mmalykh;764612735;;0;Yes
ododidislap;8046128837;;0;Yes
iHzShkin;7035639879;;0;Yes
ceovxn;7270232754;bot.py;1;Yes
MOPIAPTII;6936523429;;0;Yes
Soskeai;7564741700;Бот v1.6.py;1;Yes
SoskeAl;6452567506;злой бот.py;1;No
Rionoif;1403631970;;0;
Jjjoo1133;6930753558;;0;
Turibsan;8107595317;mainp.py;0;Yes
AizenSoloJ;7453213173;экономика.py;0;Yes
attackmalinka;8187482530;;0;
danyaka6;1070356951;main.py;0;Yes
Gothicgta5;1937084129;Dollar.py;0;Yes
yansmf;1047199054;main.py;1;Yes
maksgrieffYT;8057547912;main.py;0;Yes
gg_ss_14;7260966684;newfile.py;0;Yes
Diyoejrjj;7742464282;bot.py;0;Yes
LoneWDS;1713709485;10.py;1;Yes
Goitypie;7274803747;belazz.py;0;Yes
Smilor4ik;6398328867;gift2.py;1;Yes
tupoidebil1;847122435;pogoda.py;1;Yes
None;7857064614;magaz.py;1;Yes
Wowliki;7601743853;;0;
